201,15/02/2023 00:00,25,FreshFruit,3,50,100,LocalFarm,15/02/2023,0,150,2,15,1,2,2,1
202,01/03/2023 00:00,50,Bread,2,200,100,Bakery,01/03/2023,3,250,30,10,2,3,5,0
203,01/04/2023 00:00,200,Milk,1,300,200,Dairy,01/04/2023,1,100,5,0,0,1,4,0
204,01/04/2023 00:00,2,Chilli,3,5,10,Farm,01/04/2023,1,100,5,0,0,1,4,1
205,15/06/2023 00:00,100,CannedBeans,6,200,100,Heinz,15/06/2023,1,600,25,15,5,10,15,1
206,01/07/2023 00:00,200,PackagedPasta,5,250,125,Barilla,01/07/2023,2,700,30,20,10,15,20,0
207,01/08/2023 00:00,100,FreshMeat,7,300,150,LocalButcher,01/08/2023,0,800,35,25,15,20,25,1
208,15/09/2023 00:00,125,CannedFish,8,350,175,BumbleBee,15/09/2023,1,900,40,30,20,25,30,0
209,01/10/2023 00:00,200,PackagedRice,7,400,200,UncleBens,01/10/2023,2,1000,45,35,25,30,35,1
210,01/11/2023 00:00,142,FreshFruit,5,464,211,LocalFarm,01/11/2023,0,1100,50,40,30,35,40,0
211,15/12/2023 00:00,145,CannedVegetables,9,500,250,DelMonte,15/12/2023,1,1200,55,45,35,40,45,1
212,01/01/2024 00:00,125,PackagedBread,8,550,275,WonderBread,01/01/2024,2,1300,60,50,40,45,50,0
213,15/02/2024 00:00,155,FreshSeafood,10,600,300,LocalFishmonger,15/02/2024,0,1400,65,55,45,50,55,1
214,01/03/2024 00:00,400,CannedMeat,11,650,325,Hormel,01/03/2024,1,1500,70,60,50,55,60,0
215,01/04/2024 00:00,600,PackagedCereal,10,700,350,Kelloggs,01/04/2024,2,1600,75,65,55,60,65,1
216,15/05/2024 00:00,400,FreshDairy,6,750,375,LocalDairy,15/05/2024,0,1700,80,70,60,65,70,0
217,01/06/2024 00:00,420,CannedFruit,12,800,400,Dole,01/06/2024,1,1800,85,75,65,70,75,1
218,01/07/2024 00:00,214,PackagedSnacks,11,850,425,Lays,01/07/2024,2,1900,90,80,70,75,80,0
219,01/08/2024 00:00,600,FreshBakery,7,900,450,LocalBakery,01/08/2024,0,2000,95,85,75,80,85,1
