300,01/01/2023 00:00,500,Laptop,800,50,20,HP,01/01/2023,1920,1080,512,15.6,65,Windows10
301,01/02/2023 00:00,200,Smartphone,500,100,50,Samsung,15/02/2023,1080,1920,256,6.2,20,Android
302,01/03/2023 00:00,700,HP_Pavilion_Laptop,1300,61,29,HP,01/03/2023,1920,1080,512,15,65,Windows11
303,01/04/2023 00:00,500,Apple_iPhone_13,700,110,60,Apple,15/04/2023,1170,2532,128,6.1,20,iOS
304,01/05/2023 00:00,700,Lenovo_ThinkPad_Laptop,1000,76,34,Lenovo,01/05/2023,1920,1080,256,14,65,Windows10
305,01/06/2023 00:00,500,Google_Pixel_6,800,121,69,Google,15/06/2023,1080,2340,128,6,18,Android
306,01/07/2023 00:00,600,Dell_XPS_Laptop,1500,80,50,Dell,01/07/2023,1920,1200,512,13.4,65,Windows11
307,01/08/2023 00:00,500,OnePlus_9_Pro,900,130,80,OnePlus,15/08/2023,1080,2400,128,6.55,30,Android
308,01/09/2023 00:00,500,Asus_ZenBook_Laptop,1100,90,60,Asus,01/09/2023,1920,1080,512,14,65,Windows10
309,01/10/2023 00:00,700,Xiaomi_Mi_11,1000,140,90,Xiaomi,15/10/2023,1080,2400,128,6.67,33,Android
310,01/11/2023 00:00,1000,Acer_Aspire_Laptop,1600,105,65,Acer,01/11/2023,1920,1080,512,15.6,65,Windows11
312,01/12/2023 00:00,700,LG_Gram_Laptop,1200,110,80,LG,01/12/2023,1920,1080,256,14,65,Windows10
313,01/01/2023 00:00,800,Sony_Xperia_5_III,1300,160,110,Sony,15/01/2024,1080,2520,128,6.1,30,Android
314,01/02/2023 00:00,1000,Toshiba_DynaBook_Laptop,1700,120,90,Toshiba,01/02/2024,1920,1080,512,15.6,65,Windows11
315,01/03/2023 00:00,1200,Nokia_8.3_5G,1300,170,120,Nokia,15/03/2024,1080,2280,64,6.18,18,Android
316,01/04/2023 00:00,1000,Fujitsu_LifeBook_Laptop,1300,130,100,Fujitsu,01/04/2024,1920,1080,256,13.3,65,Windows10
317,01/05/2023 00:00,1100,Motorola_Edge_20_Pro,1400,180,130,Motorola,15/05/2024,1080,2340,128,6.3,15,Android
318,01/06/2023 00:00,1700,Alienware_m15_Laptop,1800,140,110,Alienware,01/06/2024,1920,1080,512,15.6,240,Windows11
